troncon_unique_id,stop_depart_parent_id,stop_arrivee_parent_id,stop_depart_name,stop_arrivee_name,lat_depart_parent,lon_depart_parent,lat_arrivee_parent,lon_arrivee_parent
TU_BUS_000000,S5485,S5512,Grèzes,La Martelle,43.60970196,3.827725415,43.607352615,3.826643465
TU_BUS_000001,S5435,S5485,Croix des Rosiers,Grèzes,43.61077117,3.83069788,43.60970196,3.827725415
TU_BUS_000002,S5435,S5923,Croix des Rosiers,Mourèze,43.61077117,3.83069788,43.60736086,3.83223552
TU_BUS_000003,S5920,S5923,Alexandre Yersin,Mourèze,43.60396102,3.832690825,43.60736086,3.83223552
TU_BUS_000004,S5658,S5920,Sophie Germain,Alexandre Yersin,43.60505589,3.83542253,43.60396102,3.832690825
TU_BUS_000005,S5550,S5658,Martellière,Sophie Germain,43.606950095,3.837878445,43.60505589,3.83542253
TU_BUS_000006,S5540,S5550,Lycée Jules Ferry,Martellière,43.608687295,3.840955145,43.606950095,3.837878445
TU_BUS_000007,S5463,S5540,François Dezeuze,Lycée Jules Ferry,43.60863318,3.84613126,43.608687295,3.840955145
TU_BUS_000008,S5457,S5463,Figairasse,François Dezeuze,43.607120475,3.850489305,43.60863318,3.84613126
TU_BUS_000009,S5449,S5457,Étoile,Figairasse,43.60516753,3.854816865,43.607120475,3.850489305
TU_BUS_000010,S5449,S5554,Étoile,Mas de Merle,43.60516753,3.854816865,43.604401695,3.85749953
TU_BUS_000011,S5483,S5554,Cité Créative,Mas de Merle,43.60305623,3.86271499,43.604401695,3.85749953
TU_BUS_000012,S5436,S5483,Croix du Capitaine,Cité Créative,43.60204833,3.86660945,43.60305623,3.86271499
TU_BUS_000013,S5391,S5436,Berthelot,Croix du Capitaine,43.60124442,3.86942068,43.60204833,3.86660945
TU_BUS_000014,S5391,S5922,Berthelot,Ernest Michel,43.60124442,3.86942068,43.59958804,3.87338406
TU_BUS_000015,S5629,S5922,Rondelet,Ernest Michel,43.6033504316667,3.875474865,43.59958804,3.87338406
TU_BUS_000016,S5629,S5827,Rondelet,Gare Saint-Roch (Pont de Sète),43.6033504316667,3.875474865,43.6040141375,3.878528735
TU_BUS_000017,S5465,S5827,Frédéric Bazille,Gare Saint-Roch (Pont de Sète),43.60271354,3.88053167,43.6040141375,3.878528735
TU_BUS_000018,S5416,S5465,Cité Mion,Frédéric Bazille,43.600936575,3.884726605,43.60271354,3.88053167
TU_BUS_000019,S5416,S5500,Cité Mion,Iris,43.600936575,3.884726605,43.59875025,3.885483755
TU_BUS_000020,S5466,S5500,Frédéric Fabrège,Iris,43.597363925,3.88655942,43.59875025,3.885483755
TU_BUS_000021,S5466,S5536,Frédéric Fabrège,Lucullus,43.597363925,3.88655942,43.594773645,3.888530005
TU_BUS_000022,S5414,S5536,Cité de l'Arme,Lucullus,43.593462115,3.88940347,43.594773645,3.888530005
TU_BUS_000023,S5414,S5470,Cité de l'Arme,Garcia Lorca,43.593462115,3.88940347,43.59120512625,3.89046299125
TU_BUS_000024,S5470,S5551,Garcia Lorca,Mas Argelliers,43.59120512625,3.89046299125,43.58666355,3.889262025
TU_BUS_000025,S5551,S5655,Mas Argelliers,Saporta,43.58666355,3.889262025,43.584111735,3.887925135
TU_BUS_000026,S5556,S5655,Mas Saint-Pierre,Saporta,43.58211885,3.87987639,43.584111735,3.887925135
TU_BUS_000027,S5556,S5663,Mas Saint-Pierre,Tournezy,43.58211885,3.87987639,43.57912723,3.87785425
TU_BUS_000028,S5416,S5604,Cité Mion,Place Carnot,43.600936575,3.884726605,43.6036317566667,3.88400791
TU_BUS_000029,S5494,S5604,Henri René,Place Carnot,43.60310677,3.88195254,43.6036317566667,3.88400791
TU_BUS_000030,S5494,S5827,Henri René,Gare Saint-Roch (Pont de Sète),43.60310677,3.88195254,43.6040141375,3.878528735
TU_BUS_000031,S5391,S5609,Berthelot,Place du 8 Mai,43.60124442,3.86942068,43.599775995,3.86678363
TU_BUS_000032,S5487,S5609,Guillaume Janvier,Place du 8 Mai,43.598040665,3.864900295,43.599775995,3.86678363
TU_BUS_000033,S5487,S5965,Guillaume Janvier,Parc Montcalm,43.598040665,3.864900295,43.59999468,3.85988711
TU_BUS_000034,S5965,S5966,Parc Montcalm,Chamberte - Les Roses,43.59999468,3.85988711,43.60330554,3.85649926
TU_BUS_000035,S5554,S5966,Mas de Merle,Chamberte - Les Roses,43.604401695,3.85749953,43.60330554,3.85649926
TU_BUS_000036,S5488,S5923,Gustave Eiffel,Mourèze,43.60926412,3.83274311,43.60736086,3.83223552
TU_BUS_000037,S5435,S5488,Croix des Rosiers,Gustave Eiffel,43.61077117,3.83069788,43.60926412,3.83274311
TU_BUS_000038,S5401,S5622,Celleneuve,Renaudel,43.615757055,3.82588522,43.61462255,3.82813844
TU_BUS_000039,S5548,S5622,Marie Curie,Renaudel,43.61480082,3.83118066,43.61462255,3.82813844
TU_BUS_000040,S5548,S5589,Marie Curie,Petit Bard,43.61480082,3.83118066,43.614609405,3.835271085
TU_BUS_000041,S5589,S5662,Petit Bard,Tonnelles,43.614609405,3.835271085,43.6136009216667,3.83884714833333
TU_BUS_000042,S5389,S5662,Belvédère,Tonnelles,43.617129325,3.842513825,43.6136009216667,3.83884714833333
TU_BUS_000043,S5389,S5634,Belvédère,Saint-Clément,43.617129325,3.842513825,43.617731755,3.84444143
