troncon_unique_id,stop_depart_parent_id,stop_arrivee_parent_id,stop_depart_name,stop_arrivee_name,lat_depart_parent,lon_depart_parent,lat_arrivee_parent,lon_arrivee_parent
TU_TRAM_000000,S5633,S5672,Sabines,Villeneuve d'Angoulême,43.583822352,3.860158464,43.58873839,3.865721295
TU_TRAM_000001,S5433,S5672,Croix d'Argent,Villeneuve d'Angoulême,43.59236867,3.86646159,43.58873839,3.865721295
TU_TRAM_000002,S5433,S5555,Croix d'Argent,Mas Drevon,43.59236867,3.86646159,43.59547669,3.867899195
TU_TRAM_000003,S5523,S5555,Lemasson,Mas Drevon,43.593723715,3.87328818,43.59547669,3.867899195
TU_TRAM_000004,S5523,S5635,Lemasson,Saint-Cléophas,43.593723715,3.87328818,43.5949304025,3.8758284025
TU_TRAM_000005,S5569,S5635,Nouveau Saint-Roch,Saint-Cléophas,43.59952028,3.875621165,43.5949304025,3.8758284025
TU_TRAM_000006,S5569,S5629,Nouveau Saint-Roch,Rondelet,43.59952028,3.875621165,43.6033504316667,3.875474865
TU_TRAM_000007,S5472,S5629,Gare Saint-Roch,Rondelet,43.60575272,3.88016845,43.6033504316667,3.875474865
TU_TRAM_000008,S5426,S5472,Comédie,Gare Saint-Roch,43.608366295,3.87970708,43.60575272,3.88016845
TU_TRAM_000009,S5426,S5431,Comédie,Corum,43.608366295,3.87970708,43.6142813775,3.881920795
TU_TRAM_000010,S5387,S5431,Beaux-Arts,Corum,43.61700916,3.8835351,43.6142813775,3.881920795
TU_TRAM_000011,S5387,S5509,Beaux-Arts,Jeu de Mail des Abbés,43.61700916,3.8835351,43.6202108,3.88407348
TU_TRAM_000012,S5368,S5509,Aiguelongue,Jeu de Mail des Abbés,43.6264142775,3.8826203625,43.6202108,3.88407348
TU_TRAM_000013,S5368,S5642,Aiguelongue,Saint-Lazare,43.6264142775,3.8826203625,43.6269325875,3.88880371
TU_TRAM_000014,S5177,S5642,Charles de Gaulle,Saint-Lazare,43.62817536375,3.8974032625,43.6269325875,3.88880371
TU_TRAM_000015,S5177,S5181,Charles de Gaulle,Clairval,43.62817536375,3.8974032625,43.630206265,3.902593475
TU_TRAM_000016,S5181,S5189,Clairval,La Galine,43.630206265,3.902593475,43.63147046,3.909026945
TU_TRAM_000017,S5176,S5189,Centurions,La Galine,43.63281155,3.915710385,43.63147046,3.909026945
